API NUMBER,Lat_Wellhead,Lon_Wellhead,Top_Perfs_MD,Lat_length,Fluid,Proppant,Max_Gas,Proppant_per_Ft,Fluid_per_Ft,Max_Gas_per_Ft
3.14511E+12,35.4759,-91.784,3838,4348,117432,3504501,587555,806.0029899,27.00827967,135.1322447
3.14511E+12,35.5032,-91.7602,3104,5536,167678,4639110,567966,837.9895231,30.28865607,102.5950145
3.14111E+12,35.4088,-92.3689,4417,5389,55001,1044076,351219,193.7420672,10.2061607,65.17331601
3.14112E+12,35.4651,-92.4047,3828,5548,106755,3883388,752143,699.961788,19.24206921,135.5701154
3.14112E+12,35.4965,-92.3574,4137,4373,68811,3120000,869588,713.4690144,15.73542191,198.8538761
3.14112E+12,35.4955,-92.3311,3252,4663,122966,3921166,647868,840.9105726,26.37057688,138.9380227
3.14112E+12,35.4407,-92.4375,4876,4189,87648,3512640,868713,838.5390308,20.92337073,207.3795655
3.14112E+12,35.4195,-92.308,4520,6099,214518,6095580,656788,999.4392523,35.17265125,107.6878177
3.14111E+12,35.6406,-92.3294,1838,4854,111354,5710100,243589,1176.370004,22.94066749,50.18314792
3.14111E+12,35.5841,-92.3275,2700,4732,108539,6148180,437668,1299.277261,22.93723584,92.49112426
3.14111E+12,35.4734,-92.5896,2754,4136,106544,3592994,511200,868.7122824,25.76015474,123.5976789
3.14111E+12,35.4968,-92.3552,3830,4908,112147,5030480,889819,1024.955175,22.849837,181.2997148
3.14111E+12,35.3813,-92.3525,4853,3768,77270,3511960,389093,932.0488323,20.50690021,103.2624735
3.14111E+12,35.4965,-92.5742,2683,2177,58351,1972390,364232,906.0128617,26.80339917,167.309141
3.14111E+12,35.498,-92.6615,2670,3694,83225,3194319,704907,864.7317271,22.52977802,190.8248511
3.14111E+12,35.4357,-92.2661,4120,4080,92927,3605325,434308,883.6580882,22.77622549,106.4480392
3.14511E+12,35.2869,-92.0429,6490,4092,150092,4325220,849061,1056.994135,36.67937439,207.492913
3.14511E+12,35.3997,-91.7495,3899,4448,120275,3527430,506455,793.0373201,27.04024281,113.861286
3.14511E+12,35.3997,-91.7494,3866,4722,149798,3914498,685307,828.991529,31.72342228,145.130665
3.14511E+12,35.2884,-91.9565,5970,3924,102303,3789404,378954,965.6992864,26.07110092,96.5733945
3.14111E+12,35.5028,-92.5759,2758,2872,79646,2264033,541842,788.3123259,27.73189415,188.663649
3.14111E+12,35.5223,-92.2588,2942,4808,146701,4243462,826120,882.5836106,30.51185524,171.8219634
3.14111E+12,35.4512,-92.4095,3920,6140,95891,2925398,500371,476.4491857,15.61742671,81.49364821
3.14111E+12,35.4681,-92.4742,3879,3359,93412,1564291,633218,465.7013992,27.8094671,188.5138434
3.14111E+12,35.4115,-92.3813,4624,4214,106479,3622648,621686,859.6696725,25.26791647,147.5287138
3.1411E+12,35.484,-92.5433,2895,3632,88925,3307832,627702,910.746696,24.48375551,172.8254405
3.14111E+12,35.4129,-92.425,4295,3677,116653,3228519,527348,878.0307316,31.72504759,143.4180038
3.14512E+12,35.3772,-91.8439,5271,6652,161297,7962652,842595,1197.031269,24.24789537,126.6679194
3.14512E+12,35.3772,-91.8443,5333,8049,188089,9109148,641221,1131.711765,23.36799602,79.66467884
3.14111E+12,35.5102,-92.5294,2882,3433,100516,3138216,618787,914.1322458,29.27934751,180.246723
3.14511E+12,35.1992,-91.9091,8148,3855,94040,3200773,511154,830.29131,24.39429313,132.5950713
3.14512E+12,35.315,-91.9988,6050,4792,174710,4996944,385095,1042.767947,36.45868114,80.36206177
3.14111E+12,35.4262,-92.3673,4276,3487,98898,2754450,413804,789.9197017,28.36191569,118.6704904
3.14111E+12,35.4862,-92.5301,2531,4592,136745,3465215,655622,754.6199913,29.77896341,142.7748258
3.14111E+12,35.5227,-92.6074,2508,4242,132559,3560047,485411,839.2378595,31.24917492,114.4297501
3.1451E+12,35.2717,-91.9435,5944,4026,57340,2185491,300352,542.8442623,14.24242424,74.60307998
3.1411E+12,35.4665,-92.3412,3316,4796,102293,3927123,623677,818.8329858,21.32881568,130.0410759
3.1451E+12,35.3449,-91.9089,5742,4152,82428,1991480,495750,479.6435453,19.85260116,119.400289
3.14511E+12,35.2704,-91.8217,6280,4602,162736,4695340,933218,1020.282486,35.36201651,202.7853107
3.14511E+12,35.3985,-91.7577,4394,3528,91724,2745541,528034,778.2145692,25.99886621,149.6695011
3.14112E+12,35.5072,-92.6553,2671,3524,81682,3646557,613904,1034.777809,23.17877412,174.2065834
3.1411E+12,35.5528,-92.4627,2468,3159,78489,2735651,493690,865.9863881,24.84615385,156.2804685
3.14111E+12,35.558,-92.4208,2760,2745,73386.42857,2972360,532297,1082.826958,26.73458236,193.9151184
3.1411E+12,35.5141,-92.555,2708,2742,52210,1452940,170671,529.8832969,19.0408461,62.2432531
3.1411E+12,35.4569,-92.5245,3914,3418,63201,1885209,316491,551.5532475,18.4906378,92.59537741
3.14111E+12,35.4711,-92.5823,2802,5198,101991,4370131,508477,840.7331666,19.62120046,97.82166218
3.1451E+12,35.3721,-91.7359,4452,4146,93489,2971604,441020,716.7399904,22.54920405,106.3724071
3.14112E+12,35.4158,-92.3379,4651,3888,100077,4039287,480157,1038.911265,25.73996914,123.4971708
3.0451E+12,35.3072,-92.2709,5896,3916,112870,3574800,414874,912.8702758,28.82277835,105.9433095
3.02911E+12,35.34,-92.7708,5138,4781,119028,3877293,554887,810.9795022,24.89604685,116.0608659
3.0451E+12,35.3193,-92.2065,5600,4612,156286,4695980,455713,1018.20902,33.886817,98.81027754
3.02911E+12,35.3785,-92.5419,4141,4899,125482,3927957,626945,801.7875077,25.61379873,127.9740763
3.02911E+12,35.4137,-92.6204,3961,4663,89639,3907008,752177,837.8743298,19.22346129,161.3075273
3.0451E+12,35.3552,-92.4622,4585,3587,95490,3082800,663708,859.4368553,26.62113187,185.0315026
3.14511E+12,35.4956,-91.6391,2860,5540,107645,3878519,862706,700.0936823,19.43050542,155.7231047
3.14111E+12,35.4272,-92.478,4005,3965,140197,3596005,945601,906.9369483,35.35863808,238.4870113
3.14111E+12,35.4116,-92.3758,4421,4022,89839,3248610,741542,807.7100945,22.33689707,184.371457
3.14111E+12,35.5403,-92.4195,2323,4020,196.4285714,3255397,738688,809.8002488,0.048862829,183.7532338
